サービス名,URL,favicon_url,favicon_img,KeyWord,metaDiscription,OGP_url,ogp_img,OGP文章,Title,ドメイン
シャープ株式会社,http://www.sharp.co.jp/,assets/noimage.png,,"SHARP,シャープ,アクオス,AQUOS,液晶,液晶テレビ,太陽光発電,ソーラー,デジタル複合機,プラズマクラスター,ヘルシオ, ロボット家電,COCOROBO,スマートフォン,スマホ,イグゾー,IGZO,ロボホン,RoBoHoN",シャープ株式会社の公式サイトです。製品情報、会社情報、投資家情報、社会環境活動、採用情報、ニュースリリース、サポート・お問い合わせなどを掲載しています。,,画像なし,,シャープ株式会社,www.sharp.co.jp
ウーバーイーツ,https://www.ubereats.com/ja-JP/,https://d3i4yxtzktqr9n.cloudfront.net/web-eats/static/favicon-6540f9632b.ico,,なし,タップして地域の人気レストランの料理を注文できます。Uber アカウントを使ってお気に入りのレストランにオンラインで注文しましょう。お好きな料理を玄関先までお届けします。,https://d3i4yxtzktqr9n.cloudfront.net/web-eats/static/images/components/head/ubereats_banner-960b85ce97.png,,タップして地域の人気レストランの料理を注文できます。Uber アカウントを使ってお気に入りのレストランにオンラインで注文しましょう。お好きな料理を玄関先までお届けします。,お気に入りのレストランの料理をすぐにお届け | Uber Eats をダウンロード | Uber Eats,www.ubereats.com
アプリマーケティング,https://appmarketinglabo.net/,,,"アプリ開発,トレンド,広告・マネタイズ",アプリビジネスを行う人のためのマーケティング情報サイト。アプリマーケティングに役立つ記事を発信,assets/noimage.png,,アプリビジネスを行う人のためのマーケティング情報サイト。アプリマーケティングに役立つ記事を発信,アプリマーケティング研究所 | アプリビジネスを行う人のためのマーケティング情報サイト。アプリマーケティングに役立つ記事を発信,appmarketinglabo.net
Pixiv,https://www.pixiv.net/,https://s.pximg.net/common/images/apple-touch-icon.png?20180709,,"pixiv,ピクシブ,イラスト,イラストレーション,マンガ,漫画,manga,コミュニティ,SNS,投稿,コンテスト",pixiv(ピクシブ)は、作品の投稿・閲覧が楽しめる「イラストコミュニケーションサービス」です。幅広いジャンルの作品が投稿され、ユーザー発の企画やメーカー公認のコンテストが開催されています。,https://s.pximg.net/www/images/share/pictures.jpg,,pixiv(ピクシブ)は、作品の投稿・閲覧が楽しめる「イラストコミュニケーションサービス」です。幅広いジャンルの作品が投稿され、ユーザー発の企画やメーカー公認のコンテストが開催されています。,イラスト コミュニケーションサービス[pixiv(ピクシブ)],www.pixiv.net
ペコったー,http://pecotter.jp/,http://pecotter.jp/assets/web/favicon-3df3dd52c5683e8d36f31a5897ceaa41cdd056f7635101b5da97560bca7f74e1.ico,,なし,ペコッターは、チャットでお店の予約を依頼できるサービスです。,http://pecotter.jp/assets/web/pecotter_icon_1024x1024-133b2982d904a17e823d4314197554b9275ba73339ef04b39f8313b05fe18fed.png,,ペコッターは、チャットでお店の予約を依頼できるサービスです。,予約代行アプリ「ペコッター」,pecotter.jp
Swarm,https://ja.swarmapp.com/,assets/noimage.png,,"Swarm,Foursquare,foursq,4sq,チェックイン, ステッカー,プラン,待ち合わせ,最新情報,友達,ゲーム,シェア,プラン,ハチ,ハチミツ",Swarm は、出かけたスポットに基づいて賞を獲得したり、友達と競い合ったりできます。,assets/noimage.png,,,Swarm | すべての場所を忘れずに。,ja.swarmapp.com
mery,https://mery.jp/,assets/noimage.png,,なし,MERYは、かわいくなりたい女の子のためのサービスです。ファッション・ヘアスタイル・美容・コスメ・おでかけ・恋愛などの、女の子の「好き」を毎日お届け！,https://mery.jp/images/ogp.png,,MERYは、かわいくなりたい女の子のためのサービスです。,MERY [メリー]｜女の子の毎日をかわいく。,mery.jp
wear,http://wear.jp/,https://wear.jp/favicon.ico,,"コーディネート,コーデ,着こなし,スナップ,着まわし,スタイル,ファッション,人気,WEAR,ウェア",WEAR（ウェア）は日本最大級のファッションコーディネートサイトです。モデルや俳優、ショップスタッフの着こなし700万枚以上の中からコーデを探せます。気にいったアイテムはそのまま購入も！,http://i7.wimg.jp/content/ogp/ogp.png,,WEAR（ウェア）は日本最大級のファッションコーディネートサイトです。モデルや俳優、ショップスタッフの着こなし700万枚以上の中からコーデを探せます。気にいったアイテムはそのまま購入も！,ファッションコーディネート - WEAR,wear.jp
ズボラ旅,https://www.cocolocala.jp/lp/zubora,https://www.cocolocala.jp/favicon.ico,,なし,行き先、予算、日程、宿…いままでの旅行は、考えることが多すぎました。これからは「旅行にいきたい！」という気持ちだけで大丈夫。面倒なことはおまかせして、もっと気軽に旅に出ましょう。ズボラ旅はそんな、あたらしい旅行のかたちです。,https://www.cocolocala.jp/images/zubora-ogp.jpg,,行き先、予算、日程、宿…いままでの旅行は、考えることが多すぎました。これからは「旅行にいきたい！」という気持ちだけで大丈夫。面倒なことはおまかせして、もっと気軽に旅に出ましょう。ズボラ旅はそんな、あたらしい旅行のかたちです。,"ズボラ旅 by こころから｜全部""おまかせ""で、旅にでよう。",www.cocolocala.jp
NewsPicks,https://newspicks.com/,https://newspicks.com/np_logo.png,,"newspicks,dow jones,news,economics,politics",「経済を、もっとおもしろく。」ビジネスパーソンや就活生必携のソーシャル経済メディア。国内外の最先端の経済ニュースを厳選。専門家や著名人の解説コメントでニュースがわかる。,https://newspicks.com/ogp.png,,「経済を、もっとおもしろく。」ビジネスパーソンや就活生必携のソーシャル経済メディア。国内外の最先端の経済ニュースを厳選。専門家や著名人の解説コメントでニュースがわかる。,NewsPicks | 経済を、もっとおもしろく。,newspicks.com
